Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
Kota Bontang,67.95,64.07
KALIMANTAN UTARA,46.86,41.95
Malinau,48.54,43.08
Bulungan,42.44,41.29
Tana Tidung,47.22,38.64
Nunukan,35.31,32.87
Kota Tarakan,57.93,49.47
SULAWESI UTARA,47.08,48.69
Bolaang Mongondow,29.18,30.48
Minahasa,51.24,54.97
Kepulauan Sangihe,37.68,41.2
Kepulauan Talaud,47.53,45.9
Minahasa Selatan,40.86,44.72
Minahasa Utara,56.52,56.18
Bolaang Mongondow Utara,30.63,32.28
Siau Tagulandang Biaro,41.21,42.4
Minahasa Tenggara,33.21,35.96
Bolaang Mongondow Selatan,23.12,30.62
Bolaang Mongondow Timur,28.26,28.6
Kota Manado,65.75,64.35
Kota Bitung,52,48.55
Kota Tomohon,59.6,65.35
Kota Kotamobagu,47.01,46.41
SULAWESI TENGAH,36.96,34.94
Banggai Kepulauan,34.65,27.73
Banggai,33.25,32.12
Morowali,38.19,33.6
Poso,40.97,37.93
Donggala,25.09,24.86
Toli-Toli,36.73,31.81
Buol,34.87,33.79
Parigi Moutong,31.64,28.95
Tojo Una-Una,28.3,31.13
Sigi,35.37,35.58
Banggai Laut,31.36,26.85
Morowali Utara,36.17,32.29
Kota Palu,61.57,59.34
SULAWESI SELATAN,43.64,40.59
Kepulauan Selayar,42.03,40.1
Bulukumba,42.12,34.13
Bantaeng,33.51,27.26
Jeneponto,29.11,27.5
Takalar,39.82,32.47
Gowa,39.84,38.83
Sinjai,30.16,33.29
Maros,40.37,33.14
Pangkajene dan Kepulauan,40.17,35.26
Barru,37.17,40.71
Bone,31.75,28.34
Soppeng,39.07,35.28
Wajo,30.89,25.64
Sidenreng Rappang,35.86,33.75
Pinrang,35.02,34.97
Enrekang,45.33,40.9
Luwu,49.45,38.35
Tana Toraja,43.76,39.91
Luwu Utara,34.03,33.27
Luwu Timur,40.35,40.91
Toraja Utara,44.85,45.89
Kota Makasar,67.7,67.13
Kota Parepare,58.75,59.42
Kota Palopo,63.87,63.88
SULAWESI TENGGARA,42.52,37.9
Buton,35.36,34.43
Muna,36.4,30.59
Konawe,45.61,38.75
Kolaka,43.72,38.87
Konawe Selatan,32.94,27.43
Bombana,32.76,30.24
Wakatobi,32.69,32.88
Kolaka Utara,38.8,35.97
Buton Utara,40.32,33.78
Konawe Utara,44.09,37.44
Kolaka Timur,32.02,32.06
Konawe Kepulauan,47.11,35.68
Muna Barat,37.32,31.09
Buton Tengah,27.34,20.61
Buton Selatan,30.83,24.34
Kota Kendari,64.24,62.01
Kota Baubau,58.83,53.55
GORONTALO,31.66,33.86
Boalemo,25.35,31.36
Gorontalo,29.4,31.98
Pohuwato,28.23,25.44
Bone Bolango,29.43,34.06
Gorontalo Utara,24.49,26.11
Kota Gorontalo,48.75,48.21
SULAWESI BARAT,39.36,34.37
Majene,49.48,42.63
